Position,Variable,Description,Beta,StdErr_HC1,z,p,CI_low,CI_high
GK,const,Intercept,21.8517,18.103,1.207,0.2274,-13.629,57.333
GK,dom_sv,Domestic saves,0.1029,0.0434,2.373,0.0177,0.018,0.188
GK,dom_cs,Domestic clean sheets,0.8841,0.2651,3.335,0.0009,0.365,1.404
GK,dom_rt,Domestic avg. rating,-3.6837,2.6519,-1.389,0.1648,-8.881,1.514
GK,league_strength,League's UEFA coefficient (that season),0.2768,0.1496,1.85,0.0643,-0.016,0.57
DEF,const,Intercept,-13.6419,10.3929,-1.313,0.1893,-34.012,6.728
DEF,dom_g,Domestic goals,1.035,0.4591,2.255,0.0242,0.135,1.935
DEF,dom_a,Domestic assists,0.7296,0.2515,2.901,0.0037,0.237,1.223
DEF,dom_tk,Domestic tackles,0.0789,0.0279,2.828,0.0047,0.024,0.134
DEF,dom_cs,Domestic clean sheets,0.4021,0.136,2.956,0.0031,0.136,0.669
DEF,dom_rt,Domestic avg. rating,1.6962,1.5306,1.108,0.2678,-1.304,4.696
DEF,league_strength,League's UEFA coefficient (that season),0.3128,0.0648,4.826,0.0,0.186,0.44
MID,const,Intercept,-10.0236,2.2383,-4.478,0.0,-14.411,-5.637
MID,dom_g,Domestic goals,1.1771,0.1912,6.156,0.0,0.802,1.552
MID,dom_a,Domestic assists,0.5712,0.1895,3.014,0.0026,0.2,0.943
MID,dom_tk,Domestic tackles,0.0607,0.0236,2.574,0.01,0.014,0.107
MID,dom_cs,Domestic clean sheets,0.0414,0.1756,0.236,0.8136,-0.303,0.386
MID,dom_rt,Domestic avg. rating,0.756,0.3451,2.191,0.0285,0.08,1.432
MID,league_strength,League's UEFA coefficient (that season),0.3937,0.0696,5.66,0.0,0.257,0.53
FWD,const,Intercept,-5.1011,2.5148,-2.028,0.0425,-10.03,-0.172
FWD,dom_g,Domestic goals,0.8919,0.1938,4.601,0.0,0.512,1.272
FWD,dom_a,Domestic assists,0.9696,0.3301,2.937,0.0033,0.323,1.617
FWD,dom_tk,Domestic tackles,0.0334,0.0988,0.338,0.7356,-0.16,0.227
FWD,dom_cs,Domestic clean sheets,-0.0168,0.6095,-0.028,0.9779,-1.211,1.178
FWD,dom_rt,Domestic avg. rating,-0.0408,0.3448,-0.118,0.9058,-0.717,0.635
FWD,league_strength,League's UEFA coefficient (that season),0.3215,0.0971,3.312,0.0009,0.131,0.512
