sofa_id,name,pos,season,league,country,dom_g,dom_a,dom_tk,dom_cs,dom_sv,dom_rt,league_strength,target_ucl_fantasy_pts
769333,Christopher Nkunku,FWD,2122,Bund,Germany,20,13,23,2,0,7.59,17.125,34
259117,Joshua Kimmich,MID,2122,Bund,Germany,3,11,39,6,0,7.79,17.125,9
293519,Leroy Sané,MID,2122,Bund,Germany,7,7,28,1,0,7.04,17.125,54
256219,Paulo Dybala,FWD,2122,SerieA,Italy,10,5,30,2,0,7.41,22.357,16
845291,Josep Martínez,GK,2122,Bund,Germany,0,0,0,0,1,5.9,17.125,5
845386,Federico Chiesa,MID,2122,SerieA,Italy,2,2,26,2,0,6.97,22.357,12
26768,Sven Ulreich,GK,2122,Bund,Germany,0,0,0,1,13,6.5,17.125,1
138892,João Cancelo,DEF,2122,PL,England,1,7,83,19,0,7.33,23.0,37
70988,Thibaut Courtois,GK,2122,LaLiga,Spain,0,0,1,16,93,7.04,16.571,39
795064,Trent Alexander-Arnold,DEF,2122,PL,England,2,12,40,17,0,7.65,23.0,18
288205,Bruno Fernandes,MID,2122,PL,England,10,6,54,5,0,7.26,23.0,22
895764,Pedro Gonçalves,MID,2122,Portugal,Portugal,8,9,29,4,0,7.19,12.5,25
786259,Kostas Tsimikas,DEF,2122,PL,England,0,2,27,3,0,7.17,23.0,12
958380,Antony,MID,2122,Ered,Netherlands,8,4,22,3,0,7.44,13.5,25
826643,Kylian Mbappé,FWD,2122,L1,France,28,17,11,9,0,7.77,12.583,36
991011,Jude Bellingham,MID,2122,Bund,Germany,3,8,52,6,0,6.96,17.125,19
184661,Leon Goretzka,MID,2122,Bund,Germany,3,3,25,3,0,7.12,17.125,5
843665,Alphonso Davies,DEF,2122,Bund,Germany,0,3,34,3,0,7.04,17.125,15
859999,Lisandro Martínez,DEF,2122,Ered,Netherlands,1,3,48,11,0,7.61,13.5,15
135700,Hakan Çalhanoğlu,MID,2122,SerieA,Italy,7,12,41,2,0,7.53,22.357,1
824509,Gianluigi Donnarumma,GK,2122,L1,France,0,0,0,5,45,6.93,12.583,14
910536,Rodrygo,MID,2122,LaLiga,Spain,4,4,18,1,0,6.88,16.571,33
70996,Kevin De Bruyne,MID,2122,PL,England,15,8,32,8,0,7.78,23.0,23
868812,Vinícius Júnior,MID,2122,LaLiga,Spain,17,10,46,8,0,7.35,16.571,47
187205,Milan Škriniar,DEF,2122,SerieA,Italy,3,0,47,12,0,7.05,22.357,23
118085,Hans Vanaken,MID,2122,Belgium,Belgium,11,9,47,13,0,7.31,14.2,17
189061,Jack Grealish,MID,2122,PL,England,3,3,17,10,0,7.07,23.0,11
827212,Jules Koundé,DEF,2122,LaLiga,Spain,2,1,40,13,0,7.14,16.571,5
151545,Virgil van Dijk,DEF,2122,PL,England,3,1,16,21,0,7.26,23.0,13
38710,Ivan Perišić,MID,2122,SerieA,Italy,8,7,38,5,0,7.3,22.357,8
803039,Donyell Malen,FWD,2122,Bund,Germany,5,3,13,0,0,6.99,17.125,12
363856,Nicolò Barella,MID,2122,SerieA,Italy,3,12,63,5,0,7.29,22.357,6
826215,Ibrahima Konaté,DEF,2122,PL,England,0,0,16,4,0,6.99,23.0,29
927353,Curtis Jones,MID,2122,PL,England,1,1,11,1,0,6.98,23.0,6
827606,Rodri,MID,2122,PL,England,7,2,72,15,0,7.38,23.0,10
794839,Gabriel Jesus,FWD,2122,PL,England,8,8,18,7,0,7.18,23.0,20
836694,Mason Mount,MID,2122,PL,England,11,10,41,6,0,7.43,23.0,15
942116,Mason Greenwood,MID,2122,PL,England,5,1,15,0,0,7.03,23.0,9
352370,Lucas Hernández,DEF,2122,Bund,Germany,0,1,50,4,0,7.01,17.125,9
787505,Benjamin Pavard,DEF,2122,Bund,Germany,0,1,35,7,0,7.11,17.125,11
859765,Phil Foden,MID,2122,PL,England,9,5,16,7,0,7.3,23.0,24
