sofa_id,name,pos,dom_season,ucl_season,league,country,dom_g,dom_a,dom_tk,dom_cs,dom_sv,dom_rt,league_strength,target_ucl_fantasy_pts
556866,Gregor Kobel,GK,2122,2223,Bund,Germany,0,0,0,7,74,6.82,17.125,13
259117,Joshua Kimmich,MID,2122,2223,Bund,Germany,3,11,39,6,0,7.79,17.125,26
352370,Lucas Hernández,DEF,2122,2223,Bund,Germany,0,1,50,4,0,7.01,17.125,11
70996,Kevin De Bruyne,MID,2122,2223,PL,England,15,8,32,8,0,7.78,23.0,32
8959,Manuel Neuer,GK,2122,2223,Bund,Germany,0,0,2,10,63,6.93,17.125,15
826643,Kylian Mbappé,FWD,2122,2223,L1,France,28,17,11,9,0,7.77,12.583,37
843115,Diogo Costa,GK,2122,2223,Portugal,Portugal,0,0,0,14,48,6.85,12.5,29
293519,Leroy Sané,MID,2122,2223,Bund,Germany,7,7,28,1,0,7.04,17.125,26
786259,Kostas Tsimikas,DEF,2122,2223,PL,England,0,2,27,3,0,7.17,23.0,15
10406,Simon Mignolet,GK,2122,2223,Belgium,Belgium,0,0,1,16,95,6.95,14.2,31
153257,Giovanni Di Lorenzo,DEF,2122,2223,SerieA,Italy,1,5,58,15,0,7.1,22.357,36
839956,Erling Haaland,FWD,2122,2223,Bund,Germany,22,7,2,1,0,7.66,17.125,51
318941,Rúben Dias,DEF,2122,2223,PL,England,2,4,26,12,0,7.1,23.0,42
138605,Piotr Zieliński,MID,2122,2223,SerieA,Italy,6,5,19,0,0,6.92,22.357,29
827606,Rodri,MID,2122,2223,PL,England,7,2,72,15,0,7.38,23.0,23
38710,Ivan Perišić,MID,2122,2223,SerieA,Italy,8,7,38,5,0,7.3,22.357,16
831808,Federico Valverde,MID,2122,2223,LaLiga,Spain,0,1,36,4,0,6.93,16.571,30
822471,Victor Osimhen,FWD,2122,2223,SerieA,Italy,14,2,10,4,0,7.13,22.357,21
818244,Ousmane Dembélé,FWD,2122,2223,LaLiga,Spain,1,13,24,2,0,7.53,16.571,13
70988,Thibaut Courtois,GK,2122,2223,LaLiga,Spain,0,0,1,16,93,7.04,16.571,34
26768,Sven Ulreich,GK,2122,2223,Bund,Germany,0,0,0,1,13,6.5,17.125,10
177177,Alejandro Grimaldo,DEF,2122,2223,Portugal,Portugal,5,5,50,6,0,7.33,12.5,40
254491,Ederson,GK,2122,2223,PL,England,0,0,2,20,60,6.9,23.0,37
16206,Yann Sommer,GK,2122,2223,Bund,Germany,0,1,0,4,115,6.95,17.125,12
149663,Nathan Aké,DEF,2122,2223,PL,England,2,0,16,5,0,7.08,23.0,20
910536,Rodrygo,MID,2122,2223,LaLiga,Spain,4,4,18,1,0,6.88,16.571,33
826188,Alessandro Bastoni,DEF,2122,2223,SerieA,Italy,1,3,44,8,0,7.1,22.357,35
189061,Jack Grealish,MID,2122,2223,PL,England,3,3,17,10,0,7.07,23.0,9
97001,João Mário,FWD,2122,2223,Portugal,Portugal,3,3,38,2,0,7.14,12.5,34
991011,Jude Bellingham,MID,2122,2223,Bund,Germany,3,8,52,6,0,6.96,17.125,31
795064,Trent Alexander-Arnold,DEF,2122,2223,PL,England,2,12,40,17,0,7.65,23.0,16
855833,Ferran Torres,FWD,2122,2223,PL,England,2,1,2,1,0,7.23,23.0,15
831005,Raphinha,MID,2122,2223,PL,England,11,3,51,4,0,6.97,23.0,8
184661,Leon Goretzka,MID,2122,2223,Bund,Germany,3,3,25,3,0,7.12,17.125,29
803031,Matthijs de Ligt,DEF,2122,2223,SerieA,Italy,3,1,34,11,0,7.07,22.357,17
331209,Bernardo Silva,MID,2122,2223,PL,England,8,4,57,13,0,7.16,23.0,29
883537,Luis Díaz,MID,2122,2223,PL,England,4,3,9,2,0,7.23,23.0,7
787941,Frank Anguissa,MID,2122,2223,SerieA,Italy,0,2,50,8,0,7,22.357,20
859765,Phil Foden,MID,2122,2223,PL,England,9,5,16,7,0,7.3,23.0,9
787505,Benjamin Pavard,DEF,2122,2223,Bund,Germany,0,1,35,7,0,7.11,17.125,24
976575,Nicolas Seiwald,MID,2122,2223,AutBund,Austria,0,8,74,9,0,7.23,4.9,12
383560,Manuel Akanji,DEF,2122,2223,Bund,Germany,1,0,33,3,0,6.96,17.125,39
592794,Alex Meret,GK,2122,2223,SerieA,Italy,0,0,0,2,24,7.1,22.357,23
868812,Vinícius Júnior,MID,2122,2223,LaLiga,Spain,17,10,46,8,0,7.35,16.571,55
886223,Stephen Eustaquio,MID,2122,2223,Portugal,Portugal,0,1,42,5,0,6.83,12.5,15
135700,Hakan Çalhanoğlu,MID,2122,2223,SerieA,Italy,7,12,41,2,0,7.53,22.357,19
862967,Cody Gakpo,FWD,2122,2223,Ered,Netherlands,12,13,15,3,0,7.51,13.5,2
232422,Kepa Arrizabalaga,GK,2122,2223,PL,England,0,0,0,2,11,7.28,23.0,21
138892,João Cancelo,DEF,2122,2223,PL,England,1,7,83,19,0,7.33,23.0,24
45853,İlkay Gündoğan,MID,2122,2223,PL,England,8,4,23,10,0,7.33,23.0,20
332155,Amir Rrahmani,DEF,2122,2223,SerieA,Italy,4,0,21,13,0,7.06,22.357,15
843665,Alphonso Davies,DEF,2122,2223,Bund,Germany,0,3,34,3,0,7.04,17.125,29
190159,André Silva,FWD,2122,2223,Bund,Germany,11,3,13,2,0,6.74,17.125,17
152077,John Stones,DEF,2122,2223,PL,England,1,0,5,8,0,7.16,23.0,21
284361,Federico Dimarco,DEF,2122,2223,SerieA,Italy,2,2,28,3,0,7.11,22.357,18
769333,Christopher Nkunku,FWD,2122,2223,Bund,Germany,20,13,23,2,0,7.59,17.125,17
186795,Andreas Christensen,DEF,2122,2223,PL,England,0,0,14,9,0,7.02,23.0,1
851284,Rafael Leão,MID,2122,2223,SerieA,Italy,11,8,17,7,0,7.19,22.357,16
836705,Kai Havertz,FWD,2122,2223,PL,England,8,3,17,4,0,6.83,23.0,10
852404,Mattéo Guendouzi,MID,2122,2223,L1,France,4,6,45,12,0,7,12.583,11
823984,Lautaro Martínez,FWD,2122,2223,SerieA,Italy,21,3,20,2,0,7.12,22.357,26
1003007,Tanguy Nianzou,DEF,2122,2223,Bund,Germany,1,1,11,2,0,6.81,17.125,6
826134,Trevoh Chalobah,DEF,2122,2223,PL,England,3,1,40,9,0,7.23,23.0,6
69768,Jan Oblak,GK,2122,2223,LaLiga,Spain,0,0,0,12,66,6.68,16.571,9
39070,Olivier Giroud,FWD,2122,2223,SerieA,Italy,11,3,15,3,0,7.08,22.357,28
187433,Serge Gnabry,MID,2122,2223,Bund,Germany,14,5,47,3,0,7.33,17.125,23
108579,Harry Kane,FWD,2122,2223,PL,England,17,9,15,13,0,7.38,23.0,10
363856,Nicolò Barella,MID,2122,2223,SerieA,Italy,3,12,63,5,0,7.29,22.357,27
928236,Leonardo Balerdi,DEF,2122,2223,L1,France,0,0,9,4,0,6.78,12.583,13
987818,Maurits Kjaergaard,MID,2122,2223,AutBund,Austria,2,2,13,2,0,6.87,4.9,8
875136,Noa Lang,MID,2122,2223,Belgium,Belgium,7,12,24,5,0,7.2,14.2,2
798583,Dayot Upamecano,DEF,2122,2223,Bund,Germany,1,6,66,7,0,7.15,17.125,16
964994,Joško Gvardiol,DEF,2122,2223,Bund,Germany,2,2,47,7,0,7.1,17.125,23
235672,Matteo Politano,MID,2122,2223,SerieA,Italy,3,4,24,0,0,6.77,22.357,11
352882,Nuno Santos,MID,2122,2223,Portugal,Portugal,6,7,34,7,0,7.23,12.5,7
133908,Marcel Sabitzer,MID,2122,2223,Bund,Germany,1,1,20,0,0,6.74,17.125,4
789071,Dani Olmo,MID,2122,2223,Bund,Germany,3,3,14,0,0,6.95,17.125,1
826215,Ibrahima Konaté,DEF,2122,2223,PL,England,0,0,16,4,0,6.99,23.0,6
78893,Romelu Lukaku,FWD,2122,2223,PL,England,8,0,2,6,0,6.97,23.0,16
822519,Éder Militão,DEF,2122,2223,LaLiga,Spain,1,2,50,13,0,7.14,16.571,21
103417,Isco,MID,2122,2223,LaLiga,Spain,1,0,9,0,0,6.92,16.571,11
136710,Mateo Kovačić,MID,2122,2223,PL,England,2,5,51,6,0,7.2,23.0,9
187205,Milan Škriniar,DEF,2122,2223,SerieA,Italy,3,0,47,12,0,7.05,22.357,15
248331,Brandon Mechele,DEF,2122,2223,Belgium,Belgium,0,0,65,14,0,7.15,14.2,23
361004,Marco Asensio,MID,2122,2223,LaLiga,Spain,10,0,12,2,0,7.07,16.571,18
836694,Mason Mount,MID,2122,2223,PL,England,11,10,41,6,0,7.43,23.0,7
37151,Henrikh Mkhitaryan,MID,2122,2223,SerieA,Italy,5,6,45,8,0,7.16,22.357,21
955245,Harvey Elliott,MID,2122,2223,PL,England,0,0,3,1,0,6.88,23.0,12
940871,Nico Schlotterbeck,DEF,2122,2223,Bund,Germany,4,1,72,9,0,7.35,17.125,15
992587,Pedri,MID,2122,2223,LaLiga,Spain,3,1,20,2,0,7.23,16.571,2
847030,Noussair Mazraoui,DEF,2122,2223,Ered,Netherlands,5,2,47,11,0,7.33,13.5,8
150383,Stanislav Lobotka,MID,2122,2223,SerieA,Italy,1,0,39,6,0,6.9,22.357,10
325355,José María Giménez,DEF,2122,2223,LaLiga,Spain,1,1,18,9,0,7.04,16.571,6
