Id,Name,Position,Price,ClubId,PredictedPts_BestK,KUsed,Matched
250076574,K. Mbappé,FWD,11.0,50051,38.35,4,True
250103758,E. Haaland,FWD,11.0,52919,35.64,4,True
250016833,H. Kane,FWD,11.0,50037,40.7,4,True
250176450,L. Yamal,MID,10.0,50080,28.5,1,True
250101808,K. Kvaratskhelia,MID,10.0,52747,15.28,1,True
250172668,J. Alvarez,FWD,10.0,50124,14.84,4,True
250066886,O. Dembélé,FWD,10.0,52747,17.34,4,True
250112880,Raphinha,MID,9.5,50080,19.8,1,True
250121533,Vinícius Júnior,MID,9.5,50051,24.16,1,True
250118281,Lautaro Martínez,FWD,9.5,50138,22.81,4,True
250171184,M. Olise,MID,9.0,50037,32.05,1,True
250078886,Bruno Fernandes,MID,9.0,52682,30.59,1,True
250139445,F. Wirtz,MID,8.5,7889,14.59,1,True
250080553,S. Guirassy,FWD,8.5,52758,23.43,4,True
250128377,Jude Bellingham,MID,8.5,50051,15.82,1,True
250105927,V. Gyökeres,FWD,8.5,52280,41.15,4,True
250106939,B. Saka,MID,8.5,52280,18.44,1,True
250162177,D. Doué,MID,8.5,52747,14.7,1,True
250117036,A. Gordon,MID,8.0,50080,14.42,1,True
250081720,D. Olmo,MID,8.0,50080,17.92,1,True
250132987,V. Osimhen,FWD,8.0,50067,28.35,4,True
250124430,J. Musiala,MID,8.0,50037,10.79,1,True
250144643,H. Ekitiké,FWD,8.0,7889,12.05,4,True
250132811,Luis Díaz,MID,8.0,50037,28.18,1,True
250087938,K. Havertz,FWD,8.0,52280,12.37,4,True
250130221,R. Højlund,FWD,8.0,50136,11.86,4,True
250134304,G. Martinelli,MID,7.5,52280,10.62,1,True
250096849,C. Gakpo,FWD,7.5,7889,9.41,4,True
250150887,O. Watkins,FWD,7.5,52683,23.16,4,True
250088240,S. McTominay,MID,7.5,50136,17.19,1,True
250220373,Y. Diomande,MID,7.5,50051,22.62,1,True
250068805,M. Thuram,FWD,7.5,50138,19.62,4,True
250116767,M. Greenwood,MID,7.5,52692,23.81,1,True
250113142,J. Doku,MID,7.5,52919,15.82,1,True
250010802,R. Lukaku,FWD,7.5,52692,15.99,4,True
250083732,D. Rice,MID,7.5,52280,17.45,1,True
250102035,J. David,FWD,7.5,50124,20.71,4,True
250101444,Vitinha,MID,7.5,52747,11.88,1,True
250124460,C. Tzolis,MID,7.5,52280,33.99,1,True
250143693,Pedri,MID,7.5,50080,15.47,1,True
250139217,O. Marmoush,FWD,7.5,52919,7.78,4,True
250134376,E. Eze,MID,7.5,52280,15.21,1,True
250174838,E. Fernández,MID,7.5,52919,20.62,1,True
250089868,A. Isak,FWD,7.5,7889,15.25,4,True
250223201,S. Adeniran,FWD,7.0,63405,12.83,4,True
250082664,Rodri,MID,7.0,50080,10.16,1,True
250132829,Rodrygo,MID,7.0,50051,8.85,1,True
250080570,M. Asensio,MID,7.0,52692,20.76,1,True
250022829,Hakan Çalhanoğlu,MID,7.0,50138,17.12,1,True
250153621,N. Paz,MID,7.0,79946,0.0,1,False
250101284,F. Valverde,MID,7.0,50051,17.19,1,True
250104487,J. Hauge,MID,7.0,59333,13.77,1,True
250138893,Bruno Guimarães,MID,7.0,52280,21.03,1,True
250160436,M. Akliouche,MID,7.0,52747,15.31,1,True
250086333,P. Dybala,FWD,7.0,50137,12.63,4,True
250104066,D. Szoboszlai,MID,7.0,7889,19.32,1,True
250163689,N. Jackson,FWD,7.0,52683,12.58,4,True
250081341,M. Ødegaard,MID,7.0,52280,12.57,1,True
250099258,A. Lookman,MID,7.0,50124,9.12,1,True
250059115,Bernardo Silva,MID,7.0,50051,13.62,1,True
250164780,Fermín López,MID,7.0,50080,18.24,1,True
250089228,Rafael Leão,MID,7.0,50067,14.82,1,True
250076654,C. Nkunku,FWD,7.0,2603790,10.16,4,True
250181460,A. Ueda,FWD,7.0,75797,20.68,4,True
250194673,D. Undav,FWD,7.0,50107,16.18,4,True
250117617,E. Anderson,MID,7.0,52919,17.74,1,True
250124063,R. Cherki,MID,7.0,52919,19.22,1,True
250088320,Ferran Torres,FWD,7.0,52747,13.55,4,True
250101534,P. Foden,MID,7.0,52919,17.92,1,True
250144211,Antony,MID,7.0,52265,17.95,1,True
250181717,A. Semenyo,MID,7.0,52919,26.52,1,True
250147458,L. Suárez,FWD,7.0,50149,0.0,4,False
250127347,K. Adeyemi,FWD,7.0,50080,8.71,4,True
250181849,N. Tresoldi,FWD,7.0,50043,23.1,4,True
250110943,Matheus Cunha,MID,7.0,52682,18.71,1,True
250137260,B. Mbeumo,FWD,7.0,52682,15.27,4,True
250134138,B. Barcola,MID,7.0,7889,16.4,1,True
250088246,M. Rashford,MID,7.0,52682,16.95,1,True
250061361,A. Sørloth,FWD,7.0,50124,15.63,4,True
250008901,K. De Bruyne,MID,7.0,50136,11.05,1,True
250194573,Endrick,FWD,6.5,50051,1.65,4,True
250041770,S. Gnabry,MID,6.5,50037,16.87,1,True
250106649,G. Jesus,FWD,6.5,50080,7.48,4,True
250135496,A. Garnacho,MID,6.5,52683,10.93,1,True
250183450,B. Varga,FWD,6.5,50129,15.28,4,True
250074565,Gerard Moreno,FWD,6.5,70691,10.53,4,True
250145845,G. Catamo,MID,6.5,50149,12.6,1,True
250079670,M. Llorente,MID,6.5,50124,10.67,1,True
250198119,A. Hadj Moussa,MID,6.5,52749,17.59,1,True
98023,H. Mkhitaryan,MID,6.5,50138,10.46,1,True
250192993,J. Manzambi,MID,6.5,52683,13.97,1,True
250050319,F. Thauvin,MID,6.5,52277,19.2,1,True
250181626,I. Ndiaye,MID,6.5,52919,17.02,1,True
103310,I. Perišić,MID,6.5,50062,17.83,1,True
250066739,N. Barella,MID,6.5,50138,14.92,1,True
250076641,O. Édouard,FWD,6.5,52277,2.25,4,True
250172672,A. Mac Allister,MID,6.5,7889,13.47,1,True
250116683,T. Douvikas,FWD,6.5,79946,0.0,4,False
250115436,Fabián Ruiz,MID,6.5,52747,8.95,1,True
250058958,J. McGinn,MID,6.5,52683,15.05,1,True
250080572,M. Merino,MID,6.5,52280,13.41,1,True
250064482,Nuno Santos,MID,6.5,50149,5.63,1,True
250087919,M. Kean,FWD,6.5,79946,10.33,4,True
250058244,L. Jović,FWD,6.5,50129,10.55,4,True
250089289,C. Baumgartner,MID,6.5,2603790,23.95,1,True
250196023,B. Madjo,FWD,6.5,52683,2.84,4,True
250112224,F. Nmecha,MID,6.5,52758,10.86,1,True
250106648,D. Neres,MID,6.5,50136,9.76,1,True
250134320,I. Saibari,MID,6.5,50037,22.16,1,True
250091165,N. Lang,MID,6.5,50136,7.44,1,True
250153634,G. Simeone,MID,6.5,50124,14.52,1,True
250081555,D. Malen,FWD,6.5,50137,8.91,4,True
150711837,Isco,MID,6.5,52265,7.1,1,True
250070417,J. Kimmich,MID,6.5,50037,14.44,1,True
250020851,O. Giroud,FWD,6.5,75797,15.3,4,True
250088039,Brahim Díaz,MID,6.5,50051,10.52,1,True
250127111,B. Šeško,FWD,6.5,52682,17.19,4,True
250005335,İ. Gündoğan,MID,6.5,50067,7.59,1,True
250064188,H. Vanaken,MID,6.5,50043,13.46,1,True
250063984,L. Sané,MID,6.5,50067,13.91,1,True
250064006,Y. Tielemans,MID,6.5,52682,12.14,1,True
250088810,G. Kochorashvili,MID,6.5,50149,6.46,1,True
250105890,J. Veerman,MID,6.5,52758,21.41,1,True
250161881,Arda Güler,MID,6.5,50051,16.6,1,True
250113134,N. Madueke,MID,6.5,52280,11.05,1,True
250174874,Abde Ezzalzouli,MID,6.5,52265,0.0,1,False
250163400,A. Nusa,MID,6.0,2603790,12.09,1,True
1909917,Koke,MID,6.0,50124,10.91,1,True
250059699,V. Muriqi,FWD,6.0,52692,18.16,4,True
250146674,Kerem Aktürkoğlu,MID,6.0,52692,15.24,1,True
250079383,E. Demirović,FWD,6.0,50107,15.66,4,True
250122927,M. Guendouzi,MID,6.0,52692,8.27,1,True
