Pos,Association,22_23,23_24,24_25,25_26,26_27,TotalPts,Clubs
1,England,23.0,17.375,29.464,28.68,4.388,102.907,9/9
2,Italy,22.357,21.0,21.875,19.0,3.642,87.874,7/7
3,Spain,16.571,16.062,23.892,22.093,4.625,83.243,8/8
4,Germany,17.125,19.357,18.421,21.785,4.285,80.973,7/7
5,France,12.583,16.25,17.928,18.321,3.357,68.439,7/7
6,Portugal,12.5,11.0,16.25,20.5,4.7,64.95,5/5
7,Belgium,14.2,14.4,15.65,11.4,3.4,59.05,5/5
8,Netherlands,13.5,10.0,15.25,9.979,3.666,52.395,6/6
9,Turkey,11.8,12.0,10.3,11.075,4.5,49.675,4/5
10,Poland,7.75,6.875,11.75,15.75,3.0,45.125,2/5
11,Czechia,6.75,13.5,10.55,11.025,2.9,44.725,4/5
12,Greece,2.125,11.4,12.687,14.2,3.8,44.212,4/5
13,Norway,5.75,8.0,11.812,8.05,5.0,38.612,4/5
14,Denmark,5.9,8.5,7.656,12.25,4.0,38.306,4/4
15,Cyprus,5.1,3.75,10.562,12.156,2.625,34.193,2/4
16,Switzerland,8.5,5.2,7.05,6.2,3.25,30.2,2/4
17,Austria,4.9,4.8,9.65,4.1,4.2,27.65,3/5
18,Hungary,5.875,4.5,6.625,7.437,2.875,27.312,1/4
19,Scotland,3.5,6.4,9.25,5.0,2.1,26.25,2/5
20,Sweden,6.25,1.875,11.375,5.0,1.25,25.75,1/4
21,Croatia,3.375,5.875,5.875,7.031,3.5,25.656,2/4
22,Romania,6.25,3.25,7.75,5.75,1.875,24.875,1/4
23,Ukraine,5.7,4.1,3.6,8.312,2.375,24.087,1/4
24,Israel,6.25,8.75,2.875,2.875,3.125,23.875,1/4
25,Azerbaijan,4.0,5.875,2.875,5.812,5.125,23.687,1/4
26,Slovenia,2.125,3.875,9.093,6.375,1.375,22.843,1/4
27,Slovakia,6.0,5.0,4.625,2.625,4.125,22.375,1/4
28,Bulgaria,4.5,4.375,3.625,5.187,2.875,20.562,2/4
29,Serbia,5.375,1.4,3.725,5.75,2.0,18.25,1/4
30,Russia,4.333,4.333,4.333,4.333,,17.332,-
