Id,Name,Position,Price,TotalPts,Team
250076574,K. Mbappé,FWD,11.0,6,50051
250103758,E. Haaland,FWD,11.0,12,52919
250016833,H. Kane,FWD,11.0,0,50037
250176450,L. Yamal,MID,10.0,15,50080
250101808,K. Kvaratskhelia,MID,10.0,0,52747
250172668,J. Alvarez,FWD,10.0,5,50124
250066886,O. Dembélé,FWD,10.0,16,52747
250112880,Raphinha,MID,9.5,16,50080
250121533,Vinícius Júnior,MID,9.5,3,50051
250118281,Lautaro Martínez,FWD,9.5,4,50138
250171184,M. Olise,MID,9.0,0,50037
250078886,Bruno Fernandes,MID,9.0,0,52682
250139445,F. Wirtz,MID,8.5,4,7889
250080553,S. Guirassy,FWD,8.5,13,52758
250128377,Jude Bellingham,MID,8.5,3,50051
250105927,V. Gyökeres,FWD,8.5,2,52280
250106939,B. Saka,MID,8.5,3,52280
250162177,D. Doué,MID,8.5,0,52747
250117036,A. Gordon,MID,8.0,1,50080
250081720,D. Olmo,MID,8.0,1,50080
250132987,V. Osimhen,FWD,8.0,0,50067
250124430,J. Musiala,MID,8.0,0,50037
250144643,H. Ekitiké,FWD,8.0,0,7889
250132811,Luis Díaz,MID,8.0,0,50037
250087938,K. Havertz,FWD,8.0,1,52280
250130221,R. Højlund,FWD,8.0,2,50136
250134304,G. Martinelli,MID,7.5,0,52280
250096849,C. Gakpo,FWD,7.5,0,7889
250150887,O. Watkins,FWD,7.5,0,52683
250088240,S. McTominay,MID,7.5,0,50136
250220373,Y. Diomande,MID,7.5,1,50051
250068805,M. Thuram,FWD,7.5,2,50138
250116767,M. Greenwood,MID,7.5,0,52692
250113142,J. Doku,MID,7.5,0,52919
250010802,R. Lukaku,FWD,7.5,0,52692
250083732,D. Rice,MID,7.5,3,52280
250102035,J. David,FWD,7.5,1,50124
250101444,Vitinha,MID,7.5,4,52747
250124460,C. Tzolis,MID,7.5,4,52280
250143693,Pedri,MID,7.5,7,50080
250139217,O. Marmoush,FWD,7.5,0,52919
250134376,E. Eze,MID,7.5,3,52280
250174838,E. Fernández,MID,7.5,6,52919
250089868,A. Isak,FWD,7.5,5,7889
250223201,S. Adeniran,FWD,7.0,0,63405
250082664,Rodri,MID,7.0,2,50080
250132829,Rodrygo,MID,7.0,0,50051
250080570,M. Asensio,MID,7.0,0,52692
250022829,Hakan Çalhanoğlu,MID,7.0,2,50138
250153621,N. Paz,MID,7.0,0,79946
250101284,F. Valverde,MID,7.0,10,50051
250104487,J. Hauge,MID,7.0,0,59333
250138893,Bruno Guimarães,MID,7.0,1,52280
250160436,M. Akliouche,MID,7.0,5,52747
250086333,P. Dybala,FWD,7.0,0,50137
250104066,D. Szoboszlai,MID,7.0,13,7889
250163689,N. Jackson,FWD,7.0,6,52683
250081341,M. Ødegaard,MID,7.0,11,52280
250099258,A. Lookman,MID,7.0,1,50124
250059115,Bernardo Silva,MID,7.0,0,50051
250164780,Fermín López,MID,7.0,1,50080
250089228,Rafael Leão,MID,7.0,1,50067
250076654,C. Nkunku,FWD,7.0,0,2603790
250181460,A. Ueda,FWD,7.0,6,75797
250194673,D. Undav,FWD,7.0,8,50107
250117617,E. Anderson,MID,7.0,3,52919
250124063,R. Cherki,MID,7.0,4,52919
250088320,Ferran Torres,FWD,7.0,18,52747
250101534,P. Foden,MID,7.0,3,52919
250144211,Antony,MID,7.0,3,52265
250181717,A. Semenyo,MID,7.0,3,52919
250147458,L. Suárez,FWD,7.0,7,50149
250127347,K. Adeyemi,FWD,7.0,7,50080
250181849,N. Tresoldi,FWD,7.0,6,50043
250110943,Matheus Cunha,MID,7.0,0,52682
250137260,B. Mbeumo,FWD,7.0,0,52682
250134138,B. Barcola,MID,7.0,2,7889
250088246,M. Rashford,MID,7.0,0,52682
250061361,A. Sørloth,FWD,7.0,0,50124
250008901,K. De Bruyne,MID,7.0,2,50136
250194573,Endrick,FWD,6.5,0,50051
250041770,S. Gnabry,MID,6.5,0,50037
250106649,G. Jesus,FWD,6.5,5,50080
250135496,A. Garnacho,MID,6.5,0,52683
250183450,B. Varga,FWD,6.5,2,50129
250074565,Gerard Moreno,FWD,6.5,1,70691
250145845,G. Catamo,MID,6.5,8,50149
250079670,M. Llorente,MID,6.5,9,50124
250198119,A. Hadj Moussa,MID,6.5,2,52749
98023,H. Mkhitaryan,MID,6.5,1,50138
250192993,J. Manzambi,MID,6.5,0,52683
250050319,F. Thauvin,MID,6.5,0,52277
250181626,I. Ndiaye,MID,6.5,1,52919
103310,I. Perišić,MID,6.5,0,50062
250066739,N. Barella,MID,6.5,2,50138
250076641,O. Édouard,FWD,6.5,0,52277
250172672,A. Mac Allister,MID,6.5,9,7889
250116683,T. Douvikas,FWD,6.5,0,79946
250115436,Fabián Ruiz,MID,6.5,7,52747
250058958,J. McGinn,MID,6.5,10,52683
250080572,M. Merino,MID,6.5,4,52280
250064482,Nuno Santos,MID,6.5,0,50149
250087919,M. Kean,FWD,6.5,0,79946
250058244,L. Jović,FWD,6.5,1,50129
250089289,C. Baumgartner,MID,6.5,0,2603790
250196023,B. Madjo,FWD,6.5,0,52683
250112224,F. Nmecha,MID,6.5,3,52758
250106648,D. Neres,MID,6.5,1,50136
250134320,I. Saibari,MID,6.5,0,50037
250091165,N. Lang,MID,6.5,0,50136
250153634,G. Simeone,MID,6.5,3,50124
250081555,D. Malen,FWD,6.5,0,50137
150711837,Isco,MID,6.5,5,52265
250070417,J. Kimmich,MID,6.5,0,50037
250020851,O. Giroud,FWD,6.5,0,75797
250088039,Brahim Díaz,MID,6.5,5,50051
250127111,B. Šeško,FWD,6.5,0,52682
250005335,İ. Gündoğan,MID,6.5,1,50067
250064188,H. Vanaken,MID,6.5,2,50043
250063984,L. Sané,MID,6.5,1,50067
250064006,Y. Tielemans,MID,6.5,0,52682
250088810,G. Kochorashvili,MID,6.5,0,50149
