Name,Position,Price,TotalPts,MDPts,Selected%,Goals,Assists,BallsRecovered,CleanSheets,RedCards,YellowCards,MinsPlayed,TransfersIn,TransfersOut,NextOpponent
A. Hakimi,DEF,6,3,0,30,0,0,3,0,0,0,64,44810,34599,MCI (A)
Gabriel,DEF,6,8,0,26,0,0,7,1,0,0,90,31433,34244,LIL (H)
M. Cucurella,DEF,6,3,0,12,0,0,4,0,0,0,90,10652,18666,ROM (A)
Nuno Mendes,DEF,6,6,0,32,0,1,4,0,0,0,64,38618,32390,MCI (A)
V. van Dijk,DEF,6,3,0,13,0,0,5,0,0,0,90,17036,15113,LASK (A)
W. Pacho,DEF,6,4,0,9,0,0,6,0,0,0,64,14203,12418,MCI (A)
A. Grimaldo,DEF,5.5,1,0,6,0,0,2,0,0,0,31,13286,15523,MUN (H)
A. Rüdiger,DEF,5.5,0,0,1,0,0,0,0,0,0,0,1335,1768,ROM (A)
D. Dumfries,DEF,5.5,2,0,4,0,0,1,0,0,0,90,7664,9184,ROM (A)
D. Upamecano,DEF,5.5,0,0,13,0,0,0,0,0,0,0,28835,18797,BOD (H)
J. Gvardiol,DEF,5.5,1,0,10,0,0,3,0,0,1,48,21338,15145,PSG (H)
J. Koundé,DEF,5.5,3,0,5,0,0,5,0,0,0,90,10153,9315,GAL (A)
J. Ryerson,DEF,5.5,2,0,2,0,0,3,0,0,0,90,10796,6352,BOD (A)
J. Timber,DEF,5.5,0,0,1,0,0,0,0,0,0,0,1050,5730,LIL (H)
P. Cubarsí,DEF,5.5,4,0,22,0,0,6,0,0,0,90,28639,22895,GAL (A)
Rúben Dias,DEF,5.5,9,0,3,0,0,9,1,0,0,90,5831,3910,PSG (H)
T. Alexander-Arnold,DEF,5.5,2,0,2,0,0,0,0,0,0,79,3908,4582,ROM (A)
W. Saliba,DEF,5.5,0,0,4,0,0,0,0,0,0,0,4944,31825,LIL (H)
A. Bastoni,DEF,5,1,0,6,0,0,2,0,0,0,90,11228,11909,BRU (H)
A. Davies,DEF,5,0,0,4,0,0,0,0,0,0,0,9241,7901,BOD (H)
A. Salah-Eddine,DEF,5,0,0,1,0,0,0,0,0,0,0,823,3248,FEN (A)
B. White,DEF,5,6,0,3,0,0,2,1,0,0,82,9871,10231,LIL (H)
C. Mosquera,DEF,5,0,0,0,0,0,0,0,0,0,0,797,4343,LIL (H)
C. Romero,DEF,5,3,0,4,0,0,6,0,0,0,77,9311,10060,MUN (H)
D. Spence,DEF,5,0,0,3,0,0,0,0,0,0,0,4303,7695,BRU (H)
F. Dimarco,DEF,5,0,0,5,0,0,0,0,0,0,0,17338,49826,BRU (H)
G. Di Lorenzo,DEF,5,3,0,1,0,0,4,0,0,0,90,722,3753,VIL (A)
H. Maguire,DEF,5,0,0,4,0,0,0,0,0,0,0,10320,9325,SAB (H)
I. Konaté,DEF,5,2,0,5,0,0,1,0,0,0,90,13468,12292,ROM (A)
J. Bos,DEF,5,0,0,0,0,0,0,0,0,0,0,77,1413,COM (H)
J. Frimpong,DEF,5,1,0,2,0,0,0,0,0,0,30,3279,6954,LASK (A)
J. Giménez,DEF,5,0,0,0,0,0,0,0,0,0,0,89,1898,MUN (H)
J. Jacquet,DEF,5,3,0,1,0,0,3,0,0,0,90,2793,4191,LASK (A)
J. Stones,DEF,5,1,0,1,0,0,2,0,0,0,45,2088,4195,BRU (H)
J. Tah,DEF,5,0,0,6,0,0,0,0,0,0,0,16670,13368,BOD (H)
João Cancelo,DEF,5,6,0,4,0,1,3,0,0,0,90,9089,6950,GAL (A)
K. Laimer,DEF,5,0,0,4,0,0,0,0,0,0,0,11782,9927,BOD (H)
M. Akanji,DEF,5,0,0,1,0,0,0,0,0,0,0,2356,4757,BRU (H)
M. Guéhi,DEF,5,10,0,7,0,0,13,1,0,0,90,20070,14512,PSG (H)
M. Kerkez,DEF,5,3,0,1,0,0,5,0,0,0,88,1908,4569,LASK (A)
M. Škriniar,DEF,5,0,0,1,0,0,0,0,0,0,0,1070,2297,ROM (H)
Marquinhos,DEF,5,0,0,17,0,0,0,0,0,0,0,57086,28200,MCI (A)
Matheus Nunes,DEF,5,6,0,1,0,0,1,1,0,0,90,840,3383,PSG (H)
N. Aké,DEF,5,0,0,1,0,0,0,0,0,0,0,1058,2812,ROM (H)
N. Molina,DEF,5,0,0,1,0,0,0,0,0,0,0,1956,4285,FEN (A)
N. O’Reilly,DEF,5,0,0,7,0,0,0,0,0,0,0,19188,34710,PSG (H)
N. Schlotterbeck,DEF,5,0,0,2,0,0,0,0,0,0,0,5075,18382,BOD (A)
Nélson Semedo,DEF,5,0,0,1,0,0,0,0,0,0,0,830,1833,ROM (H)
P. Dorgu,DEF,5,0,0,1,0,0,0,0,0,0,0,3262,5052,SAB (H)
R. Aït-Nouri,DEF,5,4,0,1,0,1,0,0,0,0,15,526,3372,PSG (H)
R. Sallai,DEF,5,3,0,1,0,0,6,0,0,0,90,708,3213,BAR (H)
S. Dest,DEF,5,0,0,2,0,0,0,0,0,0,0,10952,7280,SHK (H)
T. Chalobah,DEF,5,0,0,2,0,0,0,0,0,0,0,2804,4599,RBL (H)
Á. Carreras,DEF,5,1,0,1,0,0,0,0,0,0,3,1369,3844,ROM (A)
A. Ahmedhodžić,DEF,4.5,0,0,0,0,0,0,0,0,0,0,27,805,COM (H)
A. Andrade,DEF,4.5,2,0,0,0,0,5,0,0,1,90,711,1328,LIV (H)
A. Balde,DEF,4.5,0,0,1,0,0,0,0,0,0,0,2724,5289,GAL (A)
A. Brown,DEF,4.5,0,0,0,0,0,0,0,0,0,0,536,594,ROM (H)
A. Christensen,DEF,4.5,4,0,1,0,0,6,0,0,0,90,1593,3340,GAL (A)
A. Khusanov,DEF,4.5,1,0,3,0,0,0,0,0,0,42,8982,9974,PSG (H)
A. Koné,DEF,4.5,0,0,0,0,0,0,0,0,0,0,69,153,COM (A)
A. Rrahmani,DEF,4.5,3,0,0,0,0,3,0,0,0,90,375,3067,VIL (A)
A. Wan-Bissaka,DEF,4.5,2,0,0,0,0,5,0,0,0,68,1892,437,FEN (H)
A. Wan-Bissaka,DEF,4.5,0,0,0,0,0,0,0,0,0,0,66,241,FEN (H)
A. Wimmer,DEF,4.5,0,0,0,0,0,0,0,0,0,0,22,117,LIV (H)
A. Zedadka,DEF,4.5,0,0,0,0,0,0,0,0,0,0,36,128,MUN (A)
Abdülkerim Bardakcı,DEF,4.5,0,0,1,0,0,0,0,0,0,0,980,3606,BAR (H)
Alberto Costa,DEF,4.5,2,0,0,0,0,4,0,0,0,90,619,1954,BET (A)
Alexsandro,DEF,4.5,11,0,0,1,0,12,0,0,0,90,644,1870,ARS (A)
Angeliño,DEF,4.5,0,0,0,0,0,0,0,0,0,0,26,217,FEN (A)
B. Badiashile,DEF,4.5,0,0,0,0,0,0,0,0,0,0,136,910,VIL (A)
B. Mechele,DEF,4.5,2,0,1,0,0,5,0,0,0,90,3082,3896,INT (A)
B. Pavard,DEF,4.5,0,0,1,0,0,1,0,0,0,45,1188,4212,BRU (H)
C. Blackman,DEF,4.5,-2,0,0,0,0,0,0,0,1,90,98,259,STU (H)
C. Bradley,DEF,4.5,0,0,0,0,0,0,0,0,0,0,146,2212,LASK (A)
C. Lukeba,DEF,4.5,0,0,0,0,0,0,0,0,0,0,528,1930,COM (A)
C. Olivier,DEF,4.5,0,0,0,0,0,0,0,0,0,0,10,204,SBR (A)
D. Hancko,DEF,4.5,2,0,3,0,0,4,0,0,0,90,8690,10706,MUN (H)
D. Huijsen,DEF,4.5,1,0,7,0,0,2,0,0,1,90,27846,18581,ROM (A)
D. Prpić,DEF,4.5,0,0,0,0,0,0,0,0,0,0,112,1640,BET (A)
D. Raum,DEF,4.5,0,0,0,0,0,0,0,0,0,0,1171,2275,COM (A)
D. Svensson,DEF,4.5,2,0,4,0,0,4,0,0,0,90,24036,10961,BOD (A)
D. Sánchez,DEF,4.5,4,0,3,0,0,11,0,0,0,90,5984,8262,BAR (H)
D. Vida,DEF,4.5,0,0,0,0,0,0,0,0,0,0,435,668,SHK (A)
D. Zima,DEF,4.5,0,0,0,0,0,0,0,0,0,0,236,1779,LEN (H)
Diego Llorente,DEF,4.5,0,0,0,0,0,0,0,0,0,0,60,507,POR (H)
Diogo Dalot,DEF,4.5,0,0,2,0,0,0,0,0,0,0,5620,4431,SAB (H)
E. Can,DEF,4.5,0,0,0,0,0,0,0,0,0,0,359,3370,BOD (A)
E. Konsa,DEF,4.5,8,0,4,0,0,6,1,0,0,90,23436,10523,LIL (H)
E. N'Dicka,DEF,4.5,0,0,0,0,0,0,0,0,0,0,231,860,FEN (A)
E. Piták,DEF,4.5,0,0,0,0,0,0,0,0,0,0,19,74,LEN (H)
Eduardo Quaresma,DEF,4.5,4,0,0,0,0,6,0,0,0,84,266,1763,LEN (A)
Eric García,DEF,4.5,0,0,1,0,0,0,0,0,0,0,5007,15862,GAL (A)
F. Bjørkan,DEF,4.5,0,0,1,0,0,0,0,0,0,0,832,2602,BAY (A)
F. Mendy,DEF,4.5,0,0,0,0,0,0,0,0,0,0,71,1156,ROM (A)
F. Sjøvold,DEF,4.5,0,0,1,0,0,0,0,0,0,0,2796,3432,BAY (A)
Filipe Relvas,DEF,4.5,8,0,0,0,0,8,1,0,0,90,1072,530,SHK (A)
Fran García,DEF,4.5,1,0,1,0,0,0,0,0,0,9,1474,2921,POR (H)
G. Bello,DEF,4.5,3,0,0,0,0,4,0,0,0,90,236,709,LIV (H)
G. Leoni,DEF,4.5,0,0,0,0,0,0,0,0,0,0,46,1076,LASK (A)
G. Mancini,DEF,4.5,0,0,0,0,0,0,0,0,0,0,611,1024,FEN (A)
G. Read,DEF,4.5,1,0,0,0,0,5,0,0,0,90,206,1798,COM (H)
G. Stensness,DEF,4.5,2,0,0,0,0,5,0,0,0,90,54,110,BAY (H)
G. Vagiannidis,DEF,4.5,2,0,0,0,0,1,0,0,0,84,149,1311,LEN (A)
Gonçalo Inácio,DEF,4.5,1,0,4,0,0,5,0,0,0,90,12576,11211,LEN (A)
H. Bellerín,DEF,4.5,2,0,0,0,0,4,0,0,0,90,991,1472,POR (H)
H. Falchener,DEF,4.5,1,0,0,0,0,2,0,0,0,28,72,156,BAY (H)
H. Haugen,DEF,4.5,1,0,0,0,0,0,0,0,0,7,12,90,BAY (H)
H. Heggheim,DEF,4.5,3,0,0,0,0,6,0,0,0,84,98,162,BAY (H)
H. Moukoudi,DEF,4.5,8,0,0,0,0,6,1,0,0,90,976,452,SHK (A)
